architectures,dataset_sizes,loki_computation_time,nn_training_time,nn_evaluation_time,proj_evaluation_time,rmse_nn_overall,rmse_proj_nn_overall,specific_outputs,mean_rmse_nn_specific,mean_rmse_proj_nn_specific
"[1, 1]",1000,23390.0,955.0254817008972,0.003579854965209961,7.312823057174683,0.2606526690485973,0.23014049102281517,"['O2(X)', 'O2(+,X)', 'ne']",0.24471201448696026,0.0884283170834463
"[2, 2]",1000,23390.0,660.6421186923981,0.001047372817993164,3.1936588287353516,0.223720893290559,0.2000182317451231,"['O2(X)', 'O2(+,X)', 'ne']",0.22502364342852774,0.08454430379404809
"[4, 4]",1000,23390.0,478.7239270210266,0.0,2.9892072677612305,0.1620794787604088,0.154478661362927,"['O2(X)', 'O2(+,X)', 'ne']",0.14681990082451826,0.08237961788149249
"[6, 6]",1000,23390.0,345.40494775772095,0.0,2.919628143310547,0.07676419470312597,0.07234546320668613,"['O2(X)', 'O2(+,X)', 'ne']",0.07241703300183204,0.03524429266034384
"[8, 8]",1000,23390.0,411.692013502121,0.003007650375366211,6.404130220413208,0.06753572963480876,0.06500960058374505,"['O2(X)', 'O2(+,X)', 'ne']",0.05060396377248224,0.026971746327868903
"[12, 12]",1000,23390.0,269.15305495262146,0.0010046958923339844,3.000303030014038,0.06038359717565098,0.05819069933400395,"['O2(X)', 'O2(+,X)', 'ne']",0.0497499826332104,0.02873124357982665
"[18, 18]",1000,23390.0,320.7156150341034,0.0009891986846923828,5.427753210067749,0.05104807605293379,0.049796762309169865,"['O2(X)', 'O2(+,X)', 'ne']",0.036310190134076756,0.02278489612883272
"[26, 26]",1000,23390.0,390.9942514896393,0.00099945068359375,2.8949904441833496,0.03581814101563725,0.034240981306207674,"['O2(X)', 'O2(+,X)', 'ne']",0.031854230819716535,0.01852072495312046
"[37, 37]",1000,23390.0,142.99815249443054,0.0010001659393310547,2.8183116912841797,0.03637829312984188,0.035511819762437814,"['O2(X)', 'O2(+,X)', 'ne']",0.025580668818020486,0.017249169256790906
"[54, 54]",1000,23390.0,195.53847002983093,0.002002239227294922,8.173704385757446,0.03157097835437543,0.030868005311884557,"['O2(X)', 'O2(+,X)', 'ne']",0.021922857024933125,0.014334684678162372
"[78, 78]",1000,23390.0,163.92377090454102,0.002000570297241211,7.245354413986206,0.03194032416215142,0.031208548579939332,"['O2(X)', 'O2(+,X)', 'ne']",0.022536661163062344,0.015361711186379091
"[112, 112]",1000,23390.0,173.1718897819519,0.002023935317993164,7.339968204498291,0.0293820467396673,0.028979964100696066,"['O2(X)', 'O2(+,X)', 'ne']",0.017827284674880307,0.01392545947226132
"[162, 162]",1000,23390.0,189.2323591709137,0.0020101070404052734,7.184027194976807,0.024688950814492388,0.024351078201802576,"['O2(X)', 'O2(+,X)', 'ne']",0.015542995636023883,0.01189079878910204
"[233, 233]",1000,23390.0,182.35317277908325,0.0040094852447509766,6.467060089111328,0.02228804537714354,0.02219337176747618,"['O2(X)', 'O2(+,X)', 'ne']",0.012104695640864882,0.011046928635125656
"[335, 335]",1000,23390.0,106.46464443206787,0.0020012855529785156,2.8358466625213623,0.024843841888808706,0.024647019882403778,"['O2(X)', 'O2(+,X)', 'ne']",0.014365474697347886,0.0119888715384849
"[483, 483]",1000,23390.0,74.74938631057739,0.0029997825622558594,2.821587085723877,0.022141300796579978,0.02204592780787557,"['O2(X)', 'O2(+,X)', 'ne']",0.012116277556268594,0.01066821887987808
"[695, 695]",1000,23390.0,111.57031440734863,0.006000995635986328,2.970982074737549,0.021185390505000172,0.021177221412670446,"['O2(X)', 'O2(+,X)', 'ne']",0.010233535468286956,0.009806472397572994
"[1000, 1000]",1000,23390.0,97.20982265472412,0.009000778198242188,3.015096426010132,0.021698411583610203,0.02172802494137366,"['O2(X)', 'O2(+,X)', 'ne']",0.00971317475605244,0.009515471792444137
