dataset_sizes,nn_mapes,nn_mape_uncertainties,proj_mapes,proj_mape_uncertainties,nn_rmses,nn_rmse_uncertainties,proj_rmses,proj_rmse_uncertainties
20,210.8854485798732,11.07083538170626,204.82492880837657,10.616532944909542,0.22506928530932782,0.019389935076645114,0.21057924985334792,0.017177811851284003
50,96.24161535947937,5.681151252260623,93.64387796984263,5.589101841041318,0.11321661448328227,0.0043601232192517,0.10717404239751742,0.003961199949932422
100,60.282958295508976,3.497756535924622,58.89137347438956,3.4486470720449742,0.08139212745249624,0.003122202772223823,0.07754818415850227,0.002848121484138698
200,37.84940659539866,1.553984424630339,36.85045462323426,1.5183961728064783,0.0631528911766189,0.0013579140455130148,0.06102003583178395,0.0012609407818227596
400,25.535057901714787,1.300062150739117,24.95956386913352,1.3075304542434765,0.04350736822782235,0.001505440850001696,0.04239547976871409,0.0014612669096998128
600,22.715752099384716,0.9541658240567329,22.12300895877161,0.9461117805251381,0.03786711649094575,0.0010043741433737585,0.03690392969773474,0.0009680699132836422
800,19.25184251782442,0.993246058471543,18.770196065214783,0.9714745551658733,0.03168606766633783,0.0011870573352449954,0.03104658042956266,0.0011740299842068155
1000,16.70902976170992,0.7113480656235652,16.2602626762014,0.7099000854403451,0.029233920421532424,0.001165651441916202,0.028581778838732207,0.001131062558456587
1500,14.286677839214253,0.8547633438006618,13.966421658872594,0.8391721122781559,0.0229390108096212,0.0011773798891439016,0.022467351526989428,0.0011515428533173668
2000,12.107243649827188,0.5267400132856089,11.841063780534734,0.5241879495419094,0.02005730524157358,0.0005262984470344879,0.019700558486666717,0.0005162778549713703
2500,11.024976221243852,0.470187304233801,10.751248960122549,0.46751539808624826,0.018506127442018,0.0004963934290891403,0.018154210032847208,0.00048187199989807193
