architecture,architecture_id,noise_case,noise_std,noise_std_percent,model_type,mse_all_mean,mse_all_std,rmse_all_mean,rmse_all_std,mse_O2X_mean,mse_O2X_std,rmse_O2X_mean,rmse_O2X_std,mse_O2plus_mean,mse_O2plus_std,rmse_O2plus_mean,rmse_O2plus_std,mse_ne_mean,mse_ne_std,rmse_ne_mean,rmse_ne_std,phys_rmse_P_mean,phys_rmse_P_std,phys_rmse_I_mean,phys_rmse_I_std,phys_rmse_ne_mean,phys_rmse_ne_std,projection_failures_mean,projection_failures_std,resampled_impossible_values_mean,resampled_impossible_values_std,outside_domain_fraction_any_mean,outside_domain_fraction_any_std,outside_domain_fraction_P_mean,outside_domain_fraction_P_std,outside_domain_fraction_I_mean,outside_domain_fraction_I_std,outside_domain_fraction_R_mean,outside_domain_fraction_R_std,actual_abs_noise_mean_P_percent_mean,actual_abs_noise_mean_P_percent_std,actual_abs_noise_mean_I_percent_mean,actual_abs_noise_mean_I_percent_std,actual_abs_noise_mean_R_percent_mean,actual_abs_noise_mean_R_percent_std,n_valid_mean,n_valid_std
"[30, 30, 30]",30_30_30,P_only,0.01,1.0,NN,0.002935183680035628,1.0288476530432934e-05,0.05417725646107735,9.493702223010734e-05,0.0006717526788272484,2.337061997385182e-05,0.025914461106938336,0.0004511789984717065,0.003705384357208722,1.380577325710997e-05,0.06087176786099165,0.00011348399499919968,0.0039043600598370693,1.4912583775786616e-05,0.06248477025827315,0.00011940910611504101,0.027537258644709694,0.00016651814800860856,0.26236779309990765,0.00022512288789707392,0.007492372553313584,9.566267175576823e-06,0.0,0.0,0.0,0.0,0.005,0.002961744388795462,0.005,0.002961744388795462,0.0,0.0,0.0,0.0,0.7993655614048701,0.025554827547710508,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.01,1.0,NN_projection,0.002693116498921679,1.0277311614206349e-05,0.05189515572373056,9.900202780896116e-05,0.00029331141711442024,2.0794529496780224e-05,0.01711619906215092,0.0006044978596838577,0.0016847784437416069,3.7380537766211173e-06,0.041046028695670464,4.556147731064774e-05,0.0012976240642058902,3.961992880870094e-06,0.036022509423455855,5.505062669117728e-05,2.431453291453828e-06,1.882719811179173e-09,1.299592322267094e-09,8.801417076392446e-11,0.007883768336167747,1.7377820541201666e-05,0.0,0.0,0.0,0.0,0.005,0.002961744388795462,0.005,0.002961744388795462,0.0,0.0,0.0,0.0,0.7993655614048701,0.025554827547710508,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.02,2.0,NN,0.002973307434032007,2.066974748006535e-05,0.05452772999652614,0.00018944644556356994,0.0008406684215610588,5.0070661044500104e-05,0.028982090753026345,0.0008625770106905997,0.0037058586135725715,2.76066486919478e-05,0.06087536145659176,0.000227066189918352,0.003904170085466432,2.976937634884326e-05,0.062482925965588035,0.00023852230454386654,0.027617563232979276,0.0003391855938405619,0.26240260452643616,0.00043963447693702026,0.007497654592981834,1.9335484223021398e-05,0.0,0.0,0.0,0.0,0.006333333333333334,0.00322635347182329,0.006333333333333334,0.00322635347182329,0.0,0.0,0.0,0.0,1.5987311228097403,0.051109655095421015,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.02,2.0,NN_projection,0.002732483955258761,2.067318903876795e-05,0.05227281173422469,0.00019764044190346032,0.0004798530521183555,4.5528249910511287e-05,0.021882402554224717,0.0010328858770276713,0.0016852740015704214,7.457429656341038e-06,0.041051993214333296,9.092912656025117e-05,0.0012976678911379258,7.903522079380914e-06,0.03602299838561762,0.00010992077393806465,2.4313918452928334e-06,3.733146160282306e-09,1.3237496772895886e-09,1.1738883568279895e-10,0.007888560665920643,3.4713011492289614e-05,0.0,0.0,0.0,0.0,0.006333333333333334,0.00322635347182329,0.006333333333333334,0.00322635347182329,0.0,0.0,0.0,0.0,1.5987311228097403,0.051109655095421015,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.05,5.0,NN,0.0032242049785463018,5.369412429513331e-05,0.0567802200646688,0.00047193660823699723,0.00199257038377788,0.000163454907342719,0.044602555481206646,0.0018302799106501828,0.003720024619496029,6.92642595243644e-05,0.06098947769717746,0.0005696071790660306,0.003912646988585359,7.424101949994728e-05,0.06254846548954812,0.0005951147506922591,0.028301981009857043,0.0008958174787672671,0.26269840744897766,0.0010443693936843708,0.007525902922249269,4.87933291531014e-05,0.0,0.0,0.0,0.0,0.016833333333333332,0.0067082039324993705,0.016833333333333332,0.0067082039324993705,0.0,0.0,0.0,0.0,3.9968278070243506,0.12777413773855265,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.05,5.0,NN_projection,0.0029926463019057372,5.397164200903924e-05,0.0547029803119462,0.0004923059559638335,0.0017646936794508815,0.00015816564139597457,0.04196803525328348,0.0018855953771564646,0.0016934139376013975,1.8608891896441564e-05,0.04115051815538249,0.00022663010654711905,0.0013022870554550625,1.9722292795356918e-05,0.03608622272578377,0.00027450403158748557,2.430451439487494e-06,9.649134836481278e-09,1.2640280587728874e-09,1.3662192361876147e-10,0.007909612959445946,8.664709208997501e-05,0.0,0.0,0.0,0.0,0.016833333333333332,0.0067082039324993705,0.016833333333333332,0.0067082039324993705,0.0,0.0,0.0,0.0,3.9968278070243506,0.12777413773855265,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.1,10.0,NN,0.004104247970427619,0.0001232851381035295,0.06405757184633185,0.0009599668742374635,0.006049462738498086,0.0005039320691914806,0.07771309402979754,0.003266698770436554,0.0037923398951308558,0.00013176764468801348,0.0615730546965092,0.0010754829865017156,0.00396190655393012,0.00014287111969757722,0.06293386600513055,0.0011402047731107522,0.031016380299623152,0.002055647253991127,0.2640268377549555,0.002003998699818684,0.007625949953546927,0.00010305841757528537,0.0,0.0,0.0,0.0,0.0315,0.009395469855263737,0.0315,0.009395469855263737,0.0,0.0,0.0,0.0,7.993655614048701,0.2555482754771053,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_only,0.1,10.0,NN_projection,0.0039073803122961805,0.0001248268760699987,0.06250150334036322,0.0009959879996883718,0.006326364478797997,0.0005080089540578926,0.07947627148886388,0.0032260043766731933,0.0017320491458829245,3.7386140694399555e-05,0.041615580504736176,0.000450269085333515,0.0013273108225687574,3.9275017913249124e-05,0.036428440353934374,0.0005424660538521382,2.4265840263446137e-06,1.908897500414392e-08,1.3451492582417342e-09,1.5053497143366833e-10,0.007968147551225251,0.00017817342055335457,0.0,0.0,0.0,0.0,0.0315,0.009395469855263737,0.0315,0.009395469855263737,0.0,0.0,0.0,0.0,7.993655614048701,0.2555482754771053,0.0,0.0,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,R_only,0.005,0.5,NN,0.0029260504687040703,4.8824508324952e-06,0.054092961960768536,4.513156111197414e-05,0.0006119671783970935,2.2595597852156487e-06,0.024737930353879004,4.565550321651504e-05,0.0037173686273593827,1.8080366952153616e-05,0.06097005613870843,0.00014825938197027535,0.003915754631263707,1.8159576812931186e-05,0.06257583104764523,0.00014509510589304992,0.027539294442446648,2.0874843436571785e-05,0.26243433257496,0.0008827482964559168,0.007501997397532793,4.23554673906967e-05,0.0,0.0,0.0,0.0,0.005,0.003973597071195131,0.0,0.0,0.0,0.0,0.005,0.003973597071195131,0.0,0.0,0.0,0.0,0.39968278070243507,0.012777413773855254,300.0,0.0
"[30, 30, 30]",30_30_30,R_only,0.005,0.5,NN_projection,0.0026835859391022656,4.359659974740831e-06,0.05180332283971728,4.2075950013625255e-05,0.00022809624473677263,9.984418702535609e-07,0.015102821176203377,3.304313600994687e-05,0.00169826175551222,2.3080786110011016e-05,0.0412090656931361,0.0002803385378502492,0.0013091704694831183,2.0898396784245124e-05,0.03618136383843519,0.000289064323369086,2.4307875124169326e-06,3.967075494692361e-09,1.2464885055273981e-09,7.470993644347179e-11,0.007897879125485419,5.792802283888087e-05,0.0,0.0,0.0,0.0,0.005,0.003973597071195131,0.0,0.0,0.0,0.0,0.005,0.003973597071195131,0.0,0.0,0.0,0.0,0.39968278070243507,0.012777413773855254,300.0,0.0
"[30, 30, 30]",30_30_30,R_only,0.01,1.0,NN,0.0029420344208231663,9.848661396419072e-06,0.05424045160406139,9.078958113817961e-05,0.0006148085714752804,4.4528929319573565e-06,0.024795179411319708,8.973314676882317e-05,0.003740751658692195,3.635594126414932e-05,0.061160998776675725,0.0002971572889645814,0.003938096028947113,3.666772710383201e-05,0.06275360513836079,0.00029212665928359124,0.02755062830542389,4.144107173251029e-05,0.2627366374752938,0.0017582831989022521,0.0075188257167143595,8.500395556702286e-05,0.0,0.0,0.0,0.0,0.007833333333333335,0.004086062460700833,0.0,0.0,0.0,0.0,0.007833333333333335,0.004086062460700833,0.0,0.0,0.0,0.0,0.7993655614048701,0.025554827547710508,300.0,0.0
