architecture,architecture_id,noise_case,noise_std,noise_std_percent,noise_seed,model_type,projection_failures,resampled_impossible_values,actual_abs_noise_mean_P_percent,actual_abs_noise_mean_I_percent,actual_abs_noise_mean_R_percent,outside_domain_fraction_any,outside_domain_fraction_P,outside_domain_fraction_I,outside_domain_fraction_R,n_total,n_valid,mse_all,rmse_all,mse_O2X,rmse_O2X,mse_O2plus,rmse_O2plus,mse_ne,rmse_ne,phys_rmse_P,phys_rmse_I,phys_rmse_ne
"[30, 30]",30_30,clean,0.0,0.0,0,NN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.002790505556748179,0.05282523598383805,0.00039431686524847207,0.01985741335744593,0.003962985282127589,0.06295224604513797,0.003838591268414148,0.06195636584253589,0.017864979192033184,0.19067014373659574,0.009223679449436452
"[30, 30]",30_30,clean,0.0,0.0,0,NN_projection,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.002562160460464759,0.050617787984707105,0.00021853932356469637,0.014783075578670915,0.0017494853279338214,0.04182684936657101,0.00131373516351282,0.036245484732761124,2.4116891550984785e-06,1.7560431889288433e-09,0.010007641540531848
"[30, 30]",30_30,P_only,0.005,0.5,1000,NN,0,0,0.3815003897867575,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0027916307114373047,0.05283588469437513,0.0003947828772361005,0.019869143847586902,0.003949826578343512,0.0628476457661185,0.0038257294195004105,0.06185248111030317,0.017813637994350647,0.19065535553245258,0.00921314502123174
"[30, 30]",30_30,P_only,0.005,0.5,1000,NN_projection,0,0,0.3815003897867575,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0025643491605653952,0.05063940324061289,0.00022263157781085937,0.01492084373656059,0.0017470678697832135,0.041797940975402285,0.0013107976881356375,0.036204940106781526,2.412156191990688e-06,1.7760108692123897e-09,0.00999168448999017
"[30, 30]",30_30,P_only,0.005,0.5,1001,NN,0,0,0.3816020660625231,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0027979800254860146,0.052895935812555715,0.0004136361786791106,0.020338047563104738,0.0039683315650215585,0.06299469473710909,0.0038444719226139582,0.06200380571073003,0.01781958195261041,0.19047440005803054,0.0092243666442611
"[30, 30]",30_30,P_only,0.005,0.5,1001,NN_projection,0,0,0.3816020660625231,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0025690847221204274,0.050686139349139896,0.00023628843452266955,0.015371676373208926,0.001750192696528942,0.0418353044273487,0.0013149499572641318,0.03626223872383132,2.411159216266025e-06,1.8107985752506262e-09,0.010015065509918165
"[30, 30]",30_30,P_only,0.005,0.5,1002,NN,0,0,0.3702862875411087,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002795211683854134,0.0528697615263596,0.00040078424093042096,0.020019596422765892,0.003958702112395581,0.06291821765113488,0.0038335199958719466,0.06191542615432721,0.01786963937485029,0.1907036906878566,0.00922349264255162
"[30, 30]",30_30,P_only,0.005,0.5,1002,NN_projection,0,0,0.3702862875411087,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002567818601807406,0.050673648001771154,0.0002286123936076056,0.015119933650899583,0.0017501779836929777,0.041835128584635395,0.0013137844268386175,0.036246164305187074,2.413339641031313e-06,1.7091649819973775e-09,0.010007956990872827
"[30, 30]",30_30,P_only,0.005,0.5,1003,NN,0,0,0.3958199990979945,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0027931781053305944,0.05285052606484248,0.00041084116572031026,0.020269217195548285,0.003968323491127182,0.06299463065315314,0.0038440623961998135,0.062000503193117826,0.017883299795895927,0.1907668575615532,0.009223693020560059
"[30, 30]",30_30,P_only,0.005,0.5,1003,NN_projection,0,0,0.3958199990979945,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0025643192717109556,0.05063910812515319,0.0002330758845149162,0.015266823000051983,0.0017507272764908414,0.041841693040445216,0.0013151174011753442,0.03626454744203137,2.411199346740229e-06,1.6696984794347902e-09,0.010008277624721217
"[30, 30]",30_30,P_only,0.005,0.5,1004,NN,0,0,0.4142512313729005,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002806127447967305,0.05297289352081218,0.0004244187134772099,0.020601425035108856,0.003963295402757316,0.06295470913885089,0.0038405218096323477,0.06197194372966163,0.01784007902121054,0.19039090698677483,0.009231871868560532
"[30, 30]",30_30,P_only,0.005,0.5,1004,NN_projection,0,0,0.4142512313729005,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0025774081981837105,0.05076818096193432,0.00025052665924643315,0.015828033966555452,0.0017490376105018734,0.041821496990206763,0.0013134602412418325,0.036241692030613476,2.4103164913405723e-06,1.7754390963710207e-09,0.01001301504990708
"[30, 30]",30_30,P_only,0.005,0.5,1005,NN,0,0,0.4107473849688841,0.0,0.0,0.01,0.01,0.0,0.0,300,300,0.002795010945543689,0.05286786306957837,0.0004088393904908351,0.020219777211701297,0.003968459817896529,0.06299571269456779,0.0038453043612157534,0.0620105181498732,0.017901452781892046,0.19079782693257685,0.009225952250394817
"[30, 30]",30_30,P_only,0.005,0.5,1005,NN_projection,0,0,0.4107473849688841,0.0,0.0,0.01,0.01,0.0,0.0,300,300,0.0025663375904814837,0.05065903266428884,0.00023397691062048573,0.015296303822181544,0.0017506797129736781,0.04184112466191221,0.001315530298646293,0.036270239848204655,2.410986073071182e-06,1.8344934957719565e-09,0.01001685709979327
"[30, 30]",30_30,P_only,0.005,0.5,1006,NN,0,0,0.3977921155357079,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0027964963865552113,0.052881909823258196,0.0004142484789109649,0.02035309506957025,0.003969185838857837,0.06300147489430574,0.0038456730180753654,0.062013490613537996,0.017917408445591452,0.1904949573582152,0.009232800989753855
