architecture,architecture_id,noise_case,noise_std,noise_std_percent,noise_seed,model_type,projection_failures,resampled_impossible_values,actual_abs_noise_mean_P_percent,actual_abs_noise_mean_I_percent,actual_abs_noise_mean_R_percent,outside_domain_fraction_any,outside_domain_fraction_P,outside_domain_fraction_I,outside_domain_fraction_R,n_total,n_valid,mse_all,rmse_all,mse_O2X,rmse_O2X,mse_O2plus,rmse_O2plus,mse_ne,rmse_ne,phys_rmse_P,phys_rmse_I,phys_rmse_ne
"[30, 30]",30_30,P_only,0.005,0.5,1006,NN_projection,0,0,0.3977921155357079,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.002567745252893493,0.050672924258360036,0.00024336490917966505,0.01560015734470858,0.0017499662439407037,0.04183259786268005,0.0013147579424922895,0.03625959104143743,2.4101226306820124e-06,1.8346275021822827e-09,0.010017718989785797
"[30, 30]",30_30,P_only,0.005,0.5,1007,NN,0,0,0.41086431210902785,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002795678098857807,0.05287417232314665,0.0004115982020912592,0.02028788313479894,0.0039546837608008464,0.06288627641068317,0.003829782923984196,0.061885239952546,0.017776511334913415,0.1907333608829068,0.009223976225786561
"[30, 30]",30_30,P_only,0.005,0.5,1007,NN_projection,0,0,0.41086431210902785,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0025677746495978756,0.05067321432076197,0.00023053734920900913,0.015183456431557642,0.0017477569030050133,0.041806182593068855,0.001312076333443419,0.03622259423955467,2.4129038843703663e-06,1.841938067934753e-09,0.010009101361364098
"[30, 30]",30_30,P_only,0.005,0.5,1008,NN,0,0,0.42076026035655467,0.0,0.0,0.01,0.01,0.0,0.0,300,300,0.002802644803160173,0.05294001136343071,0.0004233959613629414,0.020576587699687756,0.003960930554746422,0.06293592419871517,0.0038368905270535145,0.061942639006208916,0.017851726211437956,0.1905406101435748,0.009233811423377734
"[30, 30]",30_30,P_only,0.005,0.5,1008,NN_projection,0,0,0.42076026035655467,0.0,0.0,0.01,0.01,0.0,0.0,300,300,0.002574124060730431,0.05073582620526082,0.0002492098045924451,0.015786380351190236,0.001748090726806805,0.0418101749195911,0.0013120481716374817,0.03622220550487617,2.4115405970081907e-06,1.779060630571917e-09,0.01000889023243795
"[30, 30]",30_30,P_only,0.005,0.5,1009,NN,0,0,0.399939611408667,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0027911163622426995,0.052831017047211,0.0004018995012003776,0.020047431286835168,0.003972173282481012,0.06302517974969221,0.0038481586466884384,0.06203352840753489,0.018008194678309077,0.19081164164522063,0.009225847509234325
"[30, 30]",30_30,P_only,0.005,0.5,1009,NN_projection,0,0,0.399939611408667,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002562547670880644,0.05062161268549871,0.00023085114372401605,0.015193786352453954,0.00175135612522379,0.041849206984407604,0.0013154576990282384,0.03626923901915008,2.4111177636688696e-06,1.6661188169794213e-09,0.010006971667892179
"[30, 30]",30_30,P_only,0.005,0.5,1010,NN,0,0,0.4063160328001329,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002785514567408493,0.052777974263972016,0.00039728763619055176,0.019932075561530257,0.0039723518057433235,0.0630265960190087,0.0038476338239369105,0.06202929810933629,0.0179050900539273,0.1907657801186017,0.009235784755247629
"[30, 30]",30_30,P_only,0.005,0.5,1010,NN_projection,0,0,0.4063160328001329,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0025571543580622446,0.05056831377515217,0.00022609082379998997,0.015036316829595936,0.0017523808945070789,0.04186144878652767,0.0013163883037747921,0.036282065869721256,2.411137186930176e-06,1.7277891630410748e-09,0.010024208951430183
"[30, 30]",30_30,P_only,0.005,0.5,1011,NN,0,0,0.4127170316715719,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002787279759769617,0.052794694428224674,0.0003982166585812082,0.019955366661156798,0.003971104026004365,0.063016696406622,0.003846760198867758,0.06202225567381243,0.01798072125704225,0.19082239514491237,0.009220696670497791
"[30, 30]",30_30,P_only,0.005,0.5,1011,NN_projection,0,0,0.4127170316715719,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0025589593472109826,0.05058615766403871,0.0002315353588935524,0.015216285975675944,0.0017509619347628746,0.04184449706667383,0.0013156640852452649,0.03627208410396713,2.4105663337776038e-06,1.8088219804264446e-09,0.010001818786220036
"[30, 30]",30_30,P_only,0.005,0.5,1012,NN,0,0,0.399880104767384,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0028037092744870587,0.05295006397056626,0.0004286245165448073,0.020703248936937587,0.00395979008478233,0.06292686298221396,0.003832935361359943,0.06191070473964856,0.017818427532233613,0.19038476390669973,0.009218016440497434
"[30, 30]",30_30,P_only,0.005,0.5,1012,NN_projection,0,0,0.399880104767384,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0025757675272851674,0.05075201993305456,0.0002527570403878068,0.015898334516162592,0.0017496856778438155,0.041829244289657154,0.0013129111618206271,0.03623411599336497,2.412796031097046e-06,1.7450838468464166e-09,0.009990287351615522
"[30, 30]",30_30,P_only,0.005,0.5,1013,NN,0,0,0.3913394408334634,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0027988651125489487,0.05290430145601536,0.00042798145488384,0.0206877126547098,0.003958670698921063,0.06291796801328745,0.0038342656930403494,0.06192144776279338,0.01781139437473865,0.1904013561075596,0.009230777089530968
"[30, 30]",30_30,P_only,0.005,0.5,1013,NN_projection,0,0,0.3913394408334634,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0025703423910644666,0.050698544269677674,0.0002458226892171587,0.015678733661146194,0.0017485794405388067,0.04181601894655691,0.0013126725706077728,0.03623082348785041,2.4125241270656096e-06,1.7731441244301224e-09,0.010014607242479769
"[30, 30]",30_30,P_only,0.005,0.5,1014,NN,0,0,0.412479036988105,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0027952015827798953,0.052869665998376565,0.000412581728796187,0.020312107935814713,0.003944927355414438,0.0628086566916889,0.0038215763621130385,0.06181889971613081,0.017790558910446442,0.190474798578958,0.009215253859355224
"[30, 30]",30_30,P_only,0.005,0.5,1014,NN_projection,0,0,0.412479036988105,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002567871701211484,0.050674171934146924,0.00023950782868886985,0.015476040471931761,0.001743842330680155,0.0417593382452375,0.0013073554196310856,0.03615737019794285,2.4117737924863084e-06,1.8351460044303008e-09,0.009991242667909909
"[30, 30]",30_30,P_only,0.005,0.5,1015,NN,0,0,0.39164907711794544,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0027995166028793993,0.052910458350683365,0.00041468884994903365,0.020363910477828998,0.003955480206039474,0.06289260851673648,0.003831116188021724,0.06189601108328164,0.01779881171623175,0.19054225129214633,0.009225034367462333
"[30, 30]",30_30,P_only,0.005,0.5,1015,NN_projection,0,0,0.39164907711794544,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.00257158129962237,0.05071076118165029,0.0002385257733626441,0.015444279632363696,0.0017473902694382475,0.04180179744267282,0.0013111778045721896,0.03621018923690112,2.412469387892764e-06,1.7391834452014833e-09,0.01000654071214793
"[30, 30]",30_30,P_only,0.005,0.5,1016,NN,0,0,0.4025887749089022,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0027943405886860055,0.05286152276170263,0.000421257930787553,0.020524568954975717,0.0039663794718014745,0.06297919872308216,0.0038421232696466156,0.061984863230038795,0.017848353164650336,0.19065880834875562,0.00923815735442399
"[30, 30]",30_30,P_only,0.005,0.5,1016,NN_projection,0,0,0.4025887749089022,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0025655479250436875,0.05065123813929614,0.00024225130896171518,0.015564424466125151,0.0017497665053115808,0.04183021043828947,0.0013140954333707897,0.03625045425054409,2.4115452317902152e-06,1.874318312436866e-09,0.010024760181851049
"[30, 30]",30_30,P_only,0.005,0.5,1017,NN,0,0,0.40494851784243596,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.002798727526122257,0.052903001106952875,0.0004178830244705298,0.02044218737000837,0.0039603203121639854,0.06293107588595626,0.0038365603838791565,0.06193997403841203,0.017757987114263248,0.19037216304092588,0.009223649452190003
"[30, 30]",30_30,P_only,0.005,0.5,1017,NN_projection,0,0,0.40494851784243596,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0025698317076499485,0.05069350754929026,0.00023301607239326056,0.015264863982140836,0.0017487870292409702,0.0418185010401015,0.001313252484858844,0.03623882565507392,2.4116050427552097e-06,1.838197911992644e-09,0.010012432635813792
"[30, 30]",30_30,P_only,0.005,0.5,1018,NN,0,0,0.39894387855530156,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.0027910433773700124,0.052830326303838146,0.0003969512242134606,0.019923634814296827,0.003961794690607456,0.06294278902787401,0.003838393696831696,0.06195477138067492,0.017904445521940045,0.19068783759690375,0.009243815209619552
"[30, 30]",30_30,P_only,0.005,0.5,1018,NN_projection,0,0,0.39894387855530156,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,300,300,0.002563148632337208,0.05062754815648501,0.00022703519245322425,0.015067687030636927,0.0017491063138354705,0.04182231836992625,0.001314623733418281,0.036257740324216026,2.411617083611757e-06,1.8876727534944956e-09,0.01003318350253836
"[30, 30]",30_30,P_only,0.005,0.5,1019,NN,0,0,0.38923006032333285,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.00279127623506974,0.052832530083933515,0.000407932722247889,0.020197344435541248,0.0039601167385822445,0.06292945843229739,0.0038352753552131553,0.06192959999235548,0.017847686192558148,0.19058659667500563,0.00923269695056854
"[30, 30]",30_30,P_only,0.005,0.5,1019,NN_projection,0,0,0.38923006032333285,0.0,0.0,0.0,0.0,0.0,0.0,300,300,0.0025626289091565417,0.05062241508617049,0.000226605640298748,0.015053426198003829,0.0017475999981608492,0.04180430597630882,0.0013121029533949254,0.036222961687235426,2.411760240739584e-06,1.923998794168575e-09,0.010015806600774996
"[30, 30]",30_30,I_only,0.005,0.5,1000,NN,0,0,0.0,0.3815003897867575,0.0,0.0,0.0,0.0,0.0,300,300,0.0027932480903282387,0.05285118816382692,0.0004012428020040802,0.020031045953820787,0.003952306582837262,0.06286737295956674,0.0038241628285302074,0.06183981588370237,0.01785653696840522,0.1904787667207582,0.00928180771977636
"[30, 30]",30_30,I_only,0.005,0.5,1000,NN_projection,0,0,0.0,0.3815003897867575,0.0,0.0,0.0,0.0,0.0,300,300,0.0025666102952350335,0.05066172416366258,0.00022390529224535123,0.014963465248576321,0.0017602016017501376,0.041954756604587015,0.0013182630120621385,0.03630789187025513,2.412649243048952e-06,1.7119665127350588e-09,0.010075386179235
"[30, 30]",30_30,I_only,0.005,0.5,1001,NN,0,0,0.0,0.3816020660625231,0.0,0.0,0.0,0.0,0.0,300,300,0.00279092699409949,0.05282922481070009,0.0003942087430577643,0.019854690706675948,0.00395885476632325,0.06291943075333128,0.0038352859391409103,0.06192968544358118,0.017841388146280363,0.19063263984584952,0.0092328414647673
"[30, 30]",30_30,I_only,0.005,0.5,1001,NN_projection,0,0,0.0,0.3816020660625231,0.0,0.0,0.0,0.0,0.0,300,300,0.002562642878049546,0.050622553057402646,0.00021967005236972083,0.014821270268425741,0.0017426630657106515,0.041745216081733864,0.0013066779663479216,0.03614800086239793,2.413917606186842e-06,1.809278035235495e-09,0.010008773817701773
"[30, 30]",30_30,I_only,0.005,0.5,1002,NN,0,0,0.0,0.3702862875411087,0.0,0.0,0.0,0.0,0.0,300,300,0.002796364259287721,0.052880660541333266,0.00039681269143888523,0.01992015791701675,0.003980818469053502,0.06309372765222786,0.0038604891680176965,0.06213283486223445,0.017819413851250777,0.1903888883676753,0.009206374220121613
"[30, 30]",30_30,I_only,0.005,0.5,1002,NN_projection,0,0,0.0,0.3702862875411087,0.0,0.0,0.0,0.0,0.0,300,300,0.0025676348453576798,0.05067183483314651,0.00022055829722735765,0.014851205244940817,0.0017688085634575065,0.04205720584462913,0.001336123779036901,0.036553026947667426,2.4108886024208577e-06,1.6255257446092066e-09,0.00999320181477857
"[30, 30]",30_30,I_only,0.005,0.5,1003,NN,0,0,0.0,0.3958199990979945,0.0,0.0,0.0,0.0,0.0,300,300,0.002793179714326822,0.05285054128698042,0.00039328814615775646,0.019831493795419358,0.003968073746528907,0.06299264835303328,0.0038427382050256293,0.061989823398890476,0.017874599014379218,0.1908068562281238,0.009276630769430496
"[30, 30]",30_30,I_only,0.005,0.5,1003,NN_projection,0,0,0.0,0.3958199990979945,0.0,0.0,0.0,0.0,0.0,300,300,0.0025645034186266534,0.05064092632077985,0.00021895924946563797,0.014797271689931153,0.0017548980659180882,0.04189150350510337,0.0013161657764551489,0.03627899911043783,2.4126121600188897e-06,1.8305928041454604e-09,0.010059581267315244
"[30, 30]",30_30,I_only,0.005,0.5,1004,NN,0,0,0.0,0.4142512313729005,0.0,0.0,0.0,0.0,0.0,300,300,0.0027835091525765265,0.052758972247159315,0.0003927525765016701,0.0198179861868372,0.003939203408671635,0.06276307360758901,0.003817083020299255,0.061782546243249435,0.017865523127591026,0.1907252748212765,0.00917453019726846
"[30, 30]",30_30,I_only,0.005,0.5,1004,NN_projection,0,0,0.0,0.4142512313729005,0.0,0.0,0.0,0.0,0.0,300,300,0.002556148838814163,0.050558370610752114,0.0002169241305158969,0.014728344459439319,0.0017258506145996682,0.04154335824893876,0.0012927322172059952,0.035954585482327495,2.4144216583803086e-06,1.7617420584116557e-09,0.009943728221366388
"[30, 30]",30_30,I_only,0.005,0.5,1005,NN,0,0,0.0,0.4107473849688841,0.0,0.0,0.0,0.0,0.0,300,300,0.00278963338885544,0.05281698011866487,0.0003940092854970202,0.01984966713819202,0.003956850273766204,0.06290349969410448,0.003835052053501581,0.061927797098730884,0.017855501460711687,0.1905633657080841,0.009196851506732317
"[30, 30]",30_30,I_only,0.005,0.5,1005,NN_projection,0,0,0.0,0.4107473849688841,0.0,0.0,0.0,0.0,0.0,300,300,0.0025618307072309272,0.05061453059380208,0.00021833072272859513,0.014776018500549975,0.0017453213327859047,0.04177704313119712,0.0013149921486472543,0.03626282047286524,2.408613602264523e-06,1.920029764188137e-09,0.009972407876663302
"[30, 30]",30_30,I_only,0.005,0.5,1006,NN,0,0,0.0,0.3977921155357079,0.0,0.0,0.0,0.0,0.0,300,300,0.0027875843223828314,0.05279757875492806,0.00039482391245597453,0.019870176457595302,0.003949569615885654,0.06284560140443923,0.0038226961286386006,0.061827955882744506,0.01790127353974415,0.19070060262714442,0.009197049859207112
"[30, 30]",30_30,I_only,0.005,0.5,1006,NN_projection,0,0,0.0,0.3977921155357079,0.0,0.0,0.0,0.0,0.0,300,300,0.002559770630352452,0.05059417585406893,0.0002179026361206135,0.0147615255350053,0.0017287056133773167,0.04157770572527201,0.0012928892572086452,0.03595676928213442,2.416541237700737e-06,1.851143228842187e-09,0.00998037595109897
"[30, 30]",30_30,I_only,0.005,0.5,1007,NN,0,0,0.0,0.41086431210902785,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.0027974737460948894,0.05289114997894156,0.00039398531447740046,0.019849063314862,0.003983606457459823,0.06311581780710619,0.0038608895088461364,0.06213605643140009,0.017823310443359996,0.19076410385317707,0.009237398520545038
"[30, 30]",30_30,I_only,0.005,0.5,1007,NN_projection,0,0,0.0,0.41086431210902785,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.002568506500401968,0.05068043508497108,0.0002207882258589546,0.014858944304995379,0.001770282598224205,0.042074726359469114,0.0013344684804547301,0.0365303775022204,2.412770160201841e-06,1.6315333486374767e-09,0.010026739856831017
"[30, 30]",30_30,I_only,0.005,0.5,1008,NN,0,0,0.0,0.42076026035655467,0.0,0.0,0.0,0.0,0.0,300,300,0.0027885411699372985,0.05280663944938457,0.00039305955474812777,0.019825729614521826,0.0039544667352136515,0.06288455084687854,0.0038291391850201295,0.06188003866369291,0.01786844916748669,0.19066510999240657,0.00918403864949544
"[30, 30]",30_30,I_only,0.005,0.5,1008,NN_projection,0,0,0.0,0.42076026035655467,0.0,0.0,0.0,0.0,0.0,300,300,0.0025606486519336004,0.05060285221144753,0.00021735774238035475,0.01474305742986694,0.0017389385720167816,0.04170058239421581,0.0013037654680740991,0.0361076926440073,2.413071571081507e-06,1.6388104826864422e-09,0.009978754497983681
"[30, 30]",30_30,I_only,0.005,0.5,1009,NN,0,0,0.0,0.399939611408667,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.002795628222394014,0.05287370066861231,0.0003970199309968155,0.019925358992921947,0.003968522275220741,0.06299620841940204,0.003845755215158638,0.06201415334549556,0.017901231358007797,0.1907753802124641,0.009207897284017523
"[30, 30]",30_30,I_only,0.005,0.5,1009,NN_projection,0,0,0.0,0.399939611408667,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.002566507646325917,0.05066071107205185,0.0002197376034233407,0.01482354894832343,0.0017456113883989961,0.04178051445828541,0.00130892401507031,0.03617905492229323,2.414951703744825e-06,1.7216230530176093e-09,0.00999559507835004
"[30, 30]",30_30,I_only,0.005,0.5,1010,NN,0,0,0.0,0.4063160328001329,0.0,0.0,0.0,0.0,0.0,300,300,0.0027946972990012804,0.052864896661218214,0.00039535048952808884,0.019883422480249442,0.003975110830386804,0.06304848000060591,0.003858654433119216,0.06211806849153647,0.017848085759705336,0.19073820422388188,0.009131951375863962
"[30, 30]",30_30,I_only,0.005,0.5,1010,NN_projection,0,0,0.0,0.4063160328001329,0.0,0.0,0.0,0.0,0.0,300,300,0.002564857958616959,0.05064442672809081,0.0002204101211836916,0.014846215719289936,0.0017431116535233011,0.04175058866079975,0.0013167811581717055,0.03628747935819882,2.4101721720795064e-06,1.7951923554167629e-09,0.009900988641529355
"[30, 30]",30_30,I_only,0.005,0.5,1011,NN,0,0,0.0,0.4127170316715719,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.0027937116232774053,0.05285557324707968,0.0003974517028050901,0.01993619077971241,0.003966191419383579,0.06297770573293043,0.0038390919173413893,0.06196040604564652,0.01787018754851251,0.1906670345550123,0.009219455124786531
"[30, 30]",30_30,I_only,0.005,0.5,1011,NN_projection,0,0,0.0,0.4127170316715719,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.002565096639714043,0.05064678311318541,0.00022055014915659107,0.014850930918854584,0.0017403708240923729,0.04171775190602165,0.0013028632363079246,0.0360951968592488,2.412532393789069e-06,1.870095120672911e-09,0.010015460154924608
"[30, 30]",30_30,I_only,0.005,0.5,1012,NN,0,0,0.0,0.399880104767384,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.002791486582226632,0.05283452074379621,0.0003944807220580204,0.019861538763600882,0.003974804674313733,0.06304605201211043,0.003847735170749975,0.06203011503092651,0.017854409516739465,0.19077511625189464,0.00927530356815007
"[30, 30]",30_30,I_only,0.005,0.5,1012,NN_projection,0,0,0.0,0.399880104767384,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.0025633058907486095,0.05062910122398589,0.00021749607578935344,0.01474774815995152,0.0017714920317001607,0.04208909635167,0.001331258232510911,0.03648641161461224,2.4092406069698814e-06,1.8049972683710155e-09,0.010078303088222563
"[30, 30]",30_30,I_only,0.005,0.5,1013,NN,0,0,0.0,0.3913394408334634,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.0027896204758873096,0.05281685787594061,0.0003919992399880174,0.019798970680013076,0.003970149681173418,0.06300912379309379,0.003847978271019179,0.062032074534221236,0.01784801340510446,0.1907230941387201,0.009228474179266253
"[30, 30]",30_30,I_only,0.005,0.5,1013,NN_projection,0,0,0.0,0.3913394408334634,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,300,300,0.0025610299550417517,0.050606619676103165,0.000218072961428445,0.014767293639270705,0.0017593397229326128,0.04194448382007595,0.0013259226777923478,0.03641322119494989,2.410995495224122e-06,1.7980449889281073e-09,0.010005287260302623
"[30, 30]",30_30,I_only,0.005,0.5,1014,NN,0,0,0.0,0.412479036988105,0.0,0.0,0.0,0.0,0.0,300,300,0.002786335287962379,0.052785748909742476,0.00039426380778949567,0.019856077351518744,0.003938501668595958,0.06275748296893334,0.0038104206233125723,0.061728604579340464,0.017827923304977435,0.1905877482120913,0.009255816367744588
"[30, 30]",30_30,I_only,0.005,0.5,1014,NN_projection,0,0,0.0,0.412479036988105,0.0,0.0,0.0,0.0,0.0,300,300,0.002560217986147791,0.050598596681605615,0.00021788504659800873,0.01476092973352318,0.0017435417078107843,0.04175573862130551,0.0013010075814372604,0.036069482688794695,2.419640132380349e-06,1.765276689514041e-09,0.010050804494820743
"[30, 30]",30_30,I_only,0.005,0.5,1015,NN,0,0,0.0,0.39164907711794544,0.0,0.0,0.0,0.0,0.0,300,300,0.002791051127363639,0.05283039965175012,0.0003952970644841022,0.019882078977916325,0.003961898553976276,0.06294361408416485,0.0038389900876075254,0.061959584307898045,0.01786315487544856,0.19076520655114543,0.009220525989920444
"[30, 30]",30_30,I_only,0.005,0.5,1015,NN_projection,0,0,0.0,0.39164907711794544,0.0,0.0,0.0,0.0,0.0,300,300,0.0025630939016606457,0.05062700763091421,0.00021930764504123263,0.014809039301765413,0.001754937087838513,0.04189196925233419,0.0013202856923447233,0.03633573574794823,2.4101296927168954e-06,1.5932722925384836e-09,0.010001151847190318
