lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_data,loss_train_data_err,loss_train_physics,loss_train_physics_err,loss_train_P,loss_train_P_err,loss_train_I,loss_train_I_err,loss_train_ne,loss_train_ne_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err,loss_val_P,loss_val_P_err,loss_val_I,loss_val_I_err,loss_val_ne,loss_val_ne_err
[0.11494253 0.11494253 0.11494253],3.25510926414728841e-01,5.38380733686246067e-03,5.46101125089255238e-03,1.29442369881159513e-04,3.21933022491730281e-01,5.33269852450869459e-03,5.86053542323108578e-01,3.58117648394613158e-03,2.14069252063913762e+00,4.42185848336934043e-02,7.40712327158071226e-02,1.76212361523602813e-03,7.21841024851134928e-03,1.93734518161949802e-04,3.81014639150319134e-01,1.03550159092590955e-02,6.28349847924080107e-01,6.58514941538124177e-03,2.61762177831401033e+00,9.04228244887549659e-02,6.88557343696856311e-02,1.00936188322963728e-03
[0.12643678 0.12643678 0.12643678],3.73123773157547300e-01,6.35692089214408892e-03,5.70917744457304435e-03,1.33307630151718718e-04,3.69580145778157065e-01,6.30492412485075728e-03,5.84174728859858550e-01,3.58982642106622871e-03,2.26583445533497319e+00,4.75585763736622452e-02,7.30337869596835720e-02,1.78496804620482908e-03,7.51027915457380679e-03,1.98207571844564832e-04,4.37158420407632309e-01,1.49441417637969660e-02,6.26491934736587597e-01,6.83632022517555605e-03,2.76327990971501158e+00,1.17548310623781613e-01,6.77538442269475794e-02,1.05741385311596122e-03
[0.13793103 0.13793103 0.13793103],4.22687559584174199e-01,7.31828156229479346e-03,5.91554941601266440e-03,1.36136429566674846e-04,4.19219823719615081e-01,7.26889865330599197e-03,5.84345013091934096e-01,3.57816697941294292e-03,2.38270658383128175e+00,5.04950835435983847e-02,7.22921250439933771e-02,1.77438056991809155e-03,7.71887139021929826e-03,1.98285162604778929e-04,4.95586400011479689e-01,1.72585231616486576e-02,6.26085143016174794e-01,6.83577868197997318e-03,2.89981353325291469e+00,1.24516724377418300e-01,6.71027238141382321e-02,1.05337908220575730e-03
[0.14942529 0.14942529 0.14942529],4.73684144463812018e-01,8.96744901622841852e-03,6.14653224845975853e-03,1.45584052924086020e-04,4.70292954257765405e-01,8.91679295307075230e-03,5.85856147398198801e-01,3.53262769554981045e-03,2.49014603985579619e+00,5.73298793730391207e-02,7.13429681633574175e-02,1.73324866918683784e-03,7.96656012611372984e-03,1.93395526196589272e-04,5.55269023581752896e-01,1.99219337323955324e-02,6.25464898916301193e-01,6.50036496076253616e-03,3.02404308973812874e+00,1.32761725390082075e-01,6.65231691619156684e-02,1.01510145656476237e-03
[0.16091954 0.16091954 0.16091954],5.24601344408777037e-01,1.01135564402492807e-02,6.32908994654074464e-03,1.48617870136766680e-04,5.21327677195049133e-01,1.00639457447574202e-02,5.85796020419176555e-01,3.57401769274675370e-03,2.58311228967335005e+00,6.01749316512246307e-02,7.07708267624213294e-02,1.73310770965864002e-03,8.15667133874116088e-03,1.94741190404067660e-04,6.16816690868413287e-01,2.23666834508413764e-02,6.25107154440887269e-01,6.50443644910817138e-03,3.14178748772585825e+00,1.38429775390582849e-01,6.61805082298228819e-02,1.02769155153913279e-03
[0.17241379 0.17241379 0.17241379],5.77046363181014543e-01,1.13957363370178026e-02,6.47490034040673103e-03,1.57869588507326112e-04,5.73920549223576826e-01,1.13490743836836151e-02,5.84864183329554033e-01,3.53794764219902014e-03,2.67358221029727794e+00,6.33585518990082558e-02,7.02927918699140786e-02,1.71360370477150218e-03,8.29812854592446025e-03,2.01725983036421590e-04,6.66542881905847984e-01,2.87127152853837268e-02,6.27209186743837077e-01,5.53359718641255761e-03,3.17298880065660382e+00,1.66269174056744434e-01,6.57507276534770313e-02,1.03858205097033160e-03
[0.18390805 0.18390805 0.18390805],6.31841202299896487e-01,1.17652359640116073e-02,6.62818808362475569e-03,1.55464525400044449e-04,6.28869945572754330e-01,1.17262448918271280e-02,5.84500498973927640e-01,3.50089078466951469e-03,2.76505984599988652e+00,6.08241831599326058e-02,6.99199840780378168e-02,1.69529415496068943e-03,8.44979627176228702e-03,2.08299925158241499e-04,7.16951054081451433e-01,3.32428817712844271e-02,6.24830322096379898e-01,5.33306186612070646e-03,3.20807833834967004e+00,1.80322207439150839e-01,6.55126961218409215e-02,1.10227004138051189e-03
[0.1954023 0.1954023 0.1954023],6.84860478407938289e-01,1.27917329044134401e-02,6.79781355625175970e-03,1.60070480218942171e-04,6.82047590039834173e-01,1.27547441606160866e-02,5.84397157133745515e-01,3.51445519111321172e-03,2.83661343345926475e+00,6.23228585717392619e-02,6.94682525520231436e-02,1.68003740533681197e-03,8.63476984279539297e-03,2.14596823006302977e-04,7.77322454112252648e-01,3.65497525411644861e-02,6.24794848455975216e-01,5.28758986130164164e-03,3.28801590886707595e+00,1.86526155208917049e-01,6.52512137220065819e-02,1.10947620086186542e-03
[0.20689655 0.20689655 0.20689655],7.41639395665058321e-01,1.58662885618464818e-02,7.08314840215978469e-03,1.70403662704220237e-04,7.38952684202170085e-01,1.58318435197203899e-02,5.85442986425157796e-01,3.56094624612642886e-03,2.91734904979698806e+00,7.44536196739464112e-02,6.88126040883426798e-02,1.71149437514883521e-03,9.01117431265177800e-03,2.38904373758480073e-04,8.50242871199382910e-01,3.23345670074093317e-02,6.24037426345573243e-01,4.86924262124196258e-03,3.42057052987346832e+00,1.55582901849457667e-01,6.48992545779762259e-02,1.09175336402652571e-03
[0.2183908 0.2183908 0.2183908],8.06412642871762619e-01,1.58382264679722863e-02,7.03675978181595753e-03,1.77373665788857081e-04,8.03986173981481533e-01,1.57979609683838972e-02,5.84417502207996042e-01,3.94582802158269588e-03,3.02793292565047745e+00,7.07243645146910516e-02,6.90599477409414575e-02,1.63905276712413006e-03,8.85090467342523370e-03,1.88405946420871221e-04,8.73524935688872795e-01,3.94027554689280399e-02,6.22406119116181378e-01,5.30403268586999727e-03,3.31284841955117937e+00,1.79605966690444874e-01,6.45701668553726044e-02,1.11373810918965793e-03
[0.22988506 0.22988506 0.22988506],8.60282038745632249e-01,1.74426807117939557e-02,7.27451329273407898e-03,1.80141255927828499e-04,8.58024431172024982e-01,1.74068759980577012e-02,5.84037552786671132e-01,3.94639759551955981e-03,3.07996881338379236e+00,7.39616189138949526e-02,6.83999094278450182e-02,1.67396993698485275e-03,9.15094928192236243e-03,1.86056295924497101e-04,9.52234109879334212e-01,3.84649486620322403e-02,6.23415279242670151e-01,5.44576773373389982e-03,3.45441879826614473e+00,1.66691073661603656e-01,6.43843004662884300e-02,1.12144326361361658e-03
[0.24137931 0.24137931 0.24137931],9.19165845744973176e-01,1.79742497854919921e-02,7.44616615833933182e-03,1.92321390243182784e-04,9.17111730942672621e-01,1.79376615376784822e-02,5.84549287723782562e-01,3.91254359092103269e-03,3.14675487258526410e+00,7.27540044601017316e-02,6.81587250248826548e-02,1.63834336908552690e-03,9.36254424866709949e-03,1.98335537182899106e-04,1.00664401858069752e+00,4.79068053656744666e-02,6.22347109041140545e-01,5.50988911803294672e-03,3.48403573623826635e+00,1.97464189373174975e-01,6.39995174120543825e-02,1.16529739892289020e-03
[0.25287356 0.25287356 0.25287356],9.79415464554970527e-01,1.85828915412986628e-02,7.61177842825307670e-03,2.24105313655979278e-04,9.77578138727461243e-01,1.85460209524687912e-02,5.85442772363656050e-01,3.98848329450990965e-03,3.21240066990775563e+00,7.18885430550318949e-02,6.80337426962762393e-02,1.67666476782609396e-03,9.53678094167816764e-03,2.36763422905464659e-04,1.05582174076460489e+00,5.13550898515765034e-02,6.24577550647524626e-01,5.36016661485824893e-03,3.48666120546966241e+00,2.02195379549638260e-01,6.40563096337503080e-02,1.18430528254331543e-03
[0.26436782 0.26436782 0.26436782],1.03322739079937365e+00,1.93967563190400073e-02,7.80489734103004436e-03,2.30056315830578102e-04,1.03161258445295378e+00,1.93650312231246693e-02,5.84889865546582177e-01,3.87249189279916320e-03,3.24989512947760861e+00,7.17470923280734696e-02,6.74017374717648249e-02,1.70416923572187795e-03,9.77992421587944166e-03,2.47621594348639050e-04,1.12569353332497779e+00,5.44117638294573519e-02,6.22894872493574114e-01,4.81253651418207980e-03,3.57132095219046075e+00,2.04900145874035683e-01,6.38423231104458672e-02,1.19444418456830684e-03
[0.27586207 0.27586207 0.27586207],1.09521116984562328e+00,2.27021521590849984e-02,7.89427690215488073e-03,2.15062686850412695e-04,1.09385008762111413e+00,2.26788102725969248e-02,5.84234058156222980e-01,4.11327180297471270e-03,3.31332206100620530e+00,8.00962444640043458e-02,6.76504484641101966e-02,1.78209919487636666e-03,9.93356734819859748e-03,2.10792285953681832e-04,1.20674803597456015e+00,5.43138241068981190e-02,6.18362967386683282e-01,5.44853467618719098e-03,3.69225126421194094e+00,1.96123643526834895e-01,6.38473988091558253e-02,1.14935429322096595e-03
[0.28735632 0.28735632 0.28735632],1.14151153343829392e+00,2.26176245054574981e-02,8.19122159198996599e-03,2.14744383607963051e-04,1.14038170977043274e+00,2.26049638549152797e-02,5.85581675409173608e-01,3.86460138940766069e-03,3.31586357874381843e+00,7.59584910543225078e-02,6.70830958481152539e-02,1.84325726095299386e-03,1.03593707360260766e-02,2.80763125998924356e-04,1.26786391636767304e+00,6.05491769825494755e-02,6.12949098802658687e-01,5.69123329917810977e-03,3.73555265942569514e+00,2.09568493051651095e-01,6.36646707311483429e-02,1.17841302685085542e-03
[0.29885057 0.29885057 0.29885057],1.19676902576627642e+00,2.51985156582680281e-02,8.61816265776917285e-03,2.36289594642553338e-04,1.19587749169823132e+00,2.51873136136178677e-02,5.87594441188824090e-01,3.40754790407650412e-03,3.34772712919288562e+00,8.18470663057111053e-02,6.62684979931402462e-02,1.81717112754295755e-03,1.09643854564505389e-02,2.90490245727837674e-04,1.33860248080588806e+00,6.18691588999507810e-02,6.15899379829283999e-01,5.79694534714151645e-03,3.79994681180356642e+00,2.05880600673921083e-01,6.33236479868521801e-02,1.29558392935756432e-03
[0.31034483 0.31034483 0.31034483],1.25934076160544883e+00,2.79161328904909203e-02,9.07680050033550859e-03,2.68973807227404103e-04,1.25871477536404597e+00,2.79096014609665731e-02,5.87079438116037688e-01,2.98523759783206029e-03,3.40322082429363792e+00,8.83570344999706769e-02,6.55584582078067718e-02,1.77983208314919832e-03,1.16364096515539344e-02,3.22417917501491747e-04,1.34468659507652566e+00,7.05738878094093053e-02,6.22985116887411317e-01,6.48854038912801377e-03,3.64684809915484243e+00,2.25620079176523491e-01,6.30458125376632400e-02,1.23294784424251235e-03
[0.32183908 0.32183908 0.32183908],1.35946973517180592e+00,2.80819737647959311e-02,1.02554761063492553e-02,3.59807553507439772e-04,1.35911609806469036e+00,2.80798797634514985e-02,5.87392052199128156e-01,3.43125761843195978e-03,3.57222640038099737e+00,8.52088228149628646e-02,6.33494235494478641e-02,1.82637417880776544e-03,1.33446500605769978e-02,4.86162936771270524e-04,1.24601199668634810e+00,8.18099690428861770e-02,6.21505771925468187e-01,6.06619862139998970e-03,3.18776036013854824e+00,2.51820163385548801e-01,6.22711433542800091e-02,1.37164186006364557e-03
[0.33333333 0.33333333 0.33333333],1.23723488722731915e+02,6.61365467480849478e+00,4.08576894233142862e-01,8.41420097615066739e-03,1.23723488722731915e+02,6.61365467480849478e+00,5.29289454143865745e-01,2.32041604045597274e-02,3.70639272296075603e+02,1.98351010804360577e+01,1.90441797635806367e-03,2.79874528598918486e-04,4.28393235847663589e-01,8.15417608327735459e-03,1.25125047817145628e+02,6.37571424595534442e+00,5.22019673508740789e-01,1.90827507680049434e-02,3.74851207180042024e+02,1.91195913034599343e+01,1.91659788617315864e-03,2.94405766869988001e-04
